ردیف,پرسش,پاسخ
صدور بیمه نامه انفرادی - خانواده,,
1,آيا تمامي طرح هاي بيمه درمان تکميلي (عقيق،سرو،سپیدار،افرا ) را ميتوان بصورت انفرادي يا خانودگي تهيه نمود؟,بله تمامي طرح ها هم بصورت انفرادي هم خانواده قابل خريداري هستند.در صورتیکه 3 نفر و بیشتر در یک خانواده طرح یکسان را خریداری نمایند در قالب خانواده بحساب می آیند.
2,اگر در بیمه نامه خانواده صدور یکی از افراد تائید نگردد بیمه برای افراد دیگر خانواده صادر می گردد؟,بله طبق آیین نامه 99 بیمه مرکزی هرکدام از اعضا که فرم سلامتشان تایید شود صادر میشود.
3,آیا یک نفر می تواند خواهر و برادر خود را تحت تکفل داشته باشد؟,فقط در صورتیکه نام آن شخص در بیمه ی پایه اش قید شده و شخص سرپرستش باشد(تحت تکفل بیمه شده ی اصلی باشد)  امکان پذیر می باشد.
4,  در بیمه نامه درمان تکمیلی که به صورت خانواده صادر شد است طرح بیمه شده ی اصلی با افراد تحت پوشش به چه صورت باید باشد؟,طرح بیمه شده ی اصلی با افراد تحت پوشش باید یکسان باشد، درصورت انتخاب طرح های مختلف هر فرد باید بیمه گزار خودش باشد(طرح انفرادی بخرد)
5,کسي که قبلا سابقه سرطان داشته بيمه تکميلي ميشود؟,باید فرم پرسشنامه تکمیل نمایند و سوابق بیمار خود را ذکر نمایند تا پزشک اظهار نظر نمایند.
6,بيمه نامه انفرادي براي چه اشخاصي صادر نمي شود؟,اشخاصی که دچار امراض خاص هستند معمولا مورد تایید قرار نمی گیرند،با این حال فرم سلامت را پر کرده، نظر پزشک معتمد پس از بررسی پرسشنامه سلامت، صدور و یا عدم صدور بیمه نامه برای ایشان  مشخص می نماید.
7,آیا برای فرد زیر 18 سال بیمه نامه درمان تکمیلی صادر می شود؟,بله اما تنها در صورتی بیمه نامه صادر می شود که حتما یکی از والدین او  طرحی یکسان با فرزند زیر 18 سال خود داشته باشد.
8,جهت صدور بیمه تکمیلی انفرادی و خانواده در صورتیکه شخص قصد پرداخت بصورت اقساط داشته باشد آیا می تواند چکی که بنام شخص دیگر است تحویل نماینده دهد؟,خیر -چک میبایست فقط بنام شخص بیمه شده ی اصلی باشد.
9,ثبت یا ویرایش شماره شبا در بیمه های انفرادی و خانواده به چه صورت است؟, ثبت و یا ویرایش شماره شبا فقط توسط واحد صدور(نماینده)انجام میشود ،پس از ثبت توسط نماینده بیمه شده به واحد مالی درمانت (داخلی 7730)  اطلاع دهد
10,شماره شبای اعلامی جهت واریز خسارت  می تواند به نام شخص دیگری ثبت شود؟,در موارد استثنا  شخص با درخواستی مهمور در سربرگ که امضا و تاریخ در آن قید شده باشد با تایید بیمه گر انجام میشود.
11,روش پرداخت حق بیمه درمان تکمیلی انفرادی و خانواده به چه شکل است ؟,"الف)به صورت نقدی:10%تخفیف شامل می شود
ب)به صورت اقساطی:حداقل 30% پیش پرداخت و مابقی را نهایتا طی 9 قسط مساوی متوالی ماهانه یا 3 قسط متوالی مساوی 3 ماهه پرداخت نماید که صرفا با دریافت چک امکان پذیر می باشد."
12,ایا بیمه درمان مالیات دارد؟ ,خیر مالیات حذف شده است.
13,بعد از صدور بیمه های خانواده یا حتی گروهی امکان تغییر طرح وجود دارد؟,تغییر طرح فقط در زمان سررسید با تایید پزشک معتمد امکان پذیر است.
14,در صورت تغییر طرح در تمدید بیمه نامه های خانواده در شرایطی که افزایش پوشش داشته باشند دوره های انتظار حذف می گردد؟,دوره ی انتظار ارتباطی به تغییر طرح ندارد-اگر از تاریخ پایان پوشش تا 30 روز تمدیدی انجام شود دوره انتظار حذف میشود.
15,آیا برای فردی که بیمه پایه ندارد بیمه تکمیلی انفرادی و خانواده  صادر می شود؟,بله با 18 درصد اضافه نرخ بدون بیمه پایه ، بیمه تکمیلی صادر می شود.
16,کدام یک از شرکت های بیمه پایه مورد تایید بیمه سامان می باشد؟,تامین اجتماعی-خدمات درمانی-نیروهای مسلح-سلامت ایرانیان(سلامت همگانی مورد قبول نمی باشد.)
17,آیا کسی می تواند از یک شرکت دو بیمه نامه انفرادی و گروهی داشته باشد؟,خیر، از یک شرکت بیمه تنها می توان یک بیمه نامه درمان تکمیلی تهیه کرد.
18,آیا کسی می تواند از چند شرکت مختلف بیمه نامه های درمان داشته باشد؟,بله طبق آیین نامه 99 بیمه مرکزی داشتن بیمه تکمیلی از چند شرکت بیمه ای امکان پذیر است ،منتهی بخشی از هزینه را از بیمه سامان می تواند دریافت کند و بخش دیگر را از شرکت ثانویه،(ابتدا بیمه گر پایه سهم خسارت خود را پرداخت می کند ،سپس بیمه گران تکمیلی قدرالسهم خود را از خسارت پرداخت می کنند.)بیمه شده در اولویت مراجعه به هر کدام از شرکت های بیمه مخیر است .مدارک ارسال می کنند بررسی می شود خسارت تا سقفی انجام می شود که هزینه درمان شخص جبران شود نه بیشتر.
19,در چه مواردی حتی اگر بیمه گزار اعلام کند سالم است فرم سلامت توسط پزشک معتمد حتما بررسی می گردد؟,         سن بالای 60 سال-سن کمتر از 5 سال -  BMبالای 35 -BMIکمتر از 19 -  در صورتیکه شخص ورزشکار حرفه ای باشد و مواردی دیگر که واحد صدور به بیمه شده اعلام میکند.
20,در چه صورتی نیاز نیست فرم سلامت را پزشک معتمد بررسی کند؟,اگر شخص در فرم بیمه سلامت اعلام کرده باشد سالم است و هیچ مشکلی از لحاظ سلامتی ندارد بیمه گر اصل را بر حسن نیت و صداقت بیمه گزار می گذارد                                     و همچنین اگر این 4 جراحی در فرم سلامت ذکر شوند نیازی به بررسی پزشک معتمد نمی باشد:عمل زیبایی بینی-عمل سزارین-عمل لوزه ی سوم-عمل آپاندیس در صورتیکه بیمه گزار در فرم سلامت اعلام کرده باشد نتیجه ی عمل رضایت بخش بوده است 
21,فرانشیز در طرح های انفرادی و خانواده به چه صورت است؟,از 1401/07/27 طرح های درمان خانواده با دو فرانشیز 10 و 30 درصد طراحی شده اند که بیمه گزار می تواند یکی از این موارد را درخواست نماید. (در فناوران درصد فرانشیز ابتدای نام هر طرح درج شده است).
22,اضافه نرخ سنی در طرح های انفرادی و خانواده به چه صورت می باشد؟,روال ثبت اضافه نرخ سنی تغییر یافته است و برای افراد 0 تا 60 سال اضافه نرخ معادل صفر و برای 61 تا 70 سال تمام 50 درصد، و برای مشتریان وفادار که دو سال متوالی بیمه درمان داشته اند 200 درصد است.
23,قبل از صدور بیمه کسی که بیماری یا عمل داشته باشه در فرم پرسشنامه بیماری یا عملش را بنویسد، بیمه صادر شود بعد از گذشت دوره انتظار به ایشان پرداخت میگردد یا خیر؟,اگر جزو موارد استثنا نباشد بله 
